,Unnamed: 0,hshld_id,cal_dt,autocount,homecount,renterscount,farmcount,life10count,life20count,life30count,termlifecount,wholelifecount,fixedulcount,individualhealthcount,longtermcarecount,medsupcount,disabilityincomecount,commercialcount,financialcount,federalcropcount,crophailcount,max_age,min_age,hh_tenure,months_since_last_purch,married_ind,num_persons,stip_ann_prem_ind,act_ann_prem_ind,home_owner_0_ind,home_owner_1_ind,farm_ind,drvr_cnt,veh_cnt,max_bi_limit,prim_dwlg_insd_amt,nbr_of_sq_feet,clm_cnt_lst_12mo,clm_cnt_lst_36mo,clm_cnt_lst_60mo,clm_cnt_lst_84mo,cal_month,randn,umbrella_xsell_3q
0,83042,5011956,2013-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,42.0,9,96,1,8,0,1,0,1,0,0.0,0.0,300000.0,123700.0,2718.0,0.0,0.0,0.0,0.0,10,0.99575,0
1,181829,1998282,2013-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,47.0,30,93,1,1,0,1,1,1,0,0.0,4.0,300000.0,138200.0,2196.0,0.0,2.0,0.0,0.0,4,0.15579,0
2,370946,4592038,2015-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,28.0,7,184,0,4,0,1,0,1,0,2.0,3.0,1000000.0,90000.0,1000.0,0.0,0.0,0.0,0.0,12,0.99865,0
3,60219,2611698,2016-01-01,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,37.0,44.0,1,98,0,4,0,1,0,1,0,0.0,0.0,300000.0,149600.0,1327.0,0.0,0.0,0.0,0.0,1,0.98925,0
4,310203,3434616,2016-06-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,57.0,6,72,1,2,0,1,0,1,0,2.0,0.0,500000.0,385200.0,4560.0,0.0,0.0,0.0,2.0,4,0.97676,0
5,917579,4298058,2015-11-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,60.0,6,102,1,1,0,1,0,1,0,4.0,0.0,1000000.0,323300.0,1082.0,0.0,1.0,0.0,0.0,3,0.98443,0
6,416408,2053941,2015-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,55.0,2,71,1,3,0,1,0,1,0,2.0,0.0,300000.0,160400.0,1250.0,0.0,0.0,0.0,0.0,4,0.76147,0
7,1129652,4478079,2015-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,49.0,36,21,1,2,0,1,0,1,0,0.0,0.0,1000000.0,0.0,1792.0,0.0,0.0,0.0,2.0,4,0.97855,1
8,612685,4279792,2014-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,44.0,10,114,0,2,0,1,0,1,0,0.0,0.0,300000.0,0.0,1500.0,0.0,3.0,0.0,0.0,11,0.99591,0
9,513677,2012671,2013-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,58.0,14,125,0,1,0,1,0,1,0,2.0,2.0,300000.0,141100.0,1448.0,0.0,0.0,4.0,0.0,10,0.9609,0
